familia_variable,se_bootstrap_media,se_bootstrap_maxima,diferencia_abs_se_bootstrap,conclusion
temperatura,0.05195569355266828,0.05186843631525589,8.72572374123956e-05,coincidencia esperable / consistente
radiacion,0.9062257723649962,0.9140989465031142,0.007873174138117944,coincidencia esperable / consistente
