parametro,columna,tipo,estimacion_s1,ic_clasico_li,ic_clasico_ls,n
Media MP2.5,mp2_5_mean,media,24.93820218908903,24.683611300750062,25.192793077427996,11603
Media MP10,mp10_mean,media,56.64379810181192,56.195788143930535,57.0918080596933,11590
Proporción mala calidad MP2.5,mala_calidad_mp25,proporcion,0.12005515814875463,0.11426655164393072,0.1260952615779201,11603
