parametro,columna,tipo,estimacion_s1,ic_clasico_li,ic_clasico_ls,n,ic_percentil_li,ic_percentil_ls,ic_bca_li,ic_bca_ls,n_boot,sesgo_bootstrap,desv_bootstrap
Media MP2.5,mp2_5_mean,media,24.93820218908903,24.683611300750062,25.192793077427996,11603,24.682358118590017,25.19814623373266,24.684981661893016,25.201467436703012,10000,-3.139058864221056e-05,0.13164064720283872
Media MP10,mp10_mean,media,56.64379810181192,56.195788143930535,57.0918080596933,11590,56.18649288179464,57.10510092752373,56.19340850004614,57.111856521615785,10000,4.2308282999670155e-05,0.23287283699058892
Proporción mala calidad MP2.5,mala_calidad_mp25,proporcion,0.12005515814875463,0.11426655164393072,0.1260952615779201,11603,0.11419460484357494,0.12591571145393432,0.11428078945100405,0.12608808066879254,10000,-4.3454279065741064e-05,0.0030215923897456655
