variable,metodo,n_enmascarado,nmae_iqr,nrmse_iqr,encogimiento_varianza,sd_real,sd_imputado
humedad_mean,mediana,4215,0.5313415796011791,0.6591082518858447,0.9999999999999968,5.0514459878456535,1.5641220057047857e-14
humedad_mean,regresion,4215,0.22259084671587054,0.3228935228810401,0.10658893279200625,5.0514459878456535,4.512861577946582
mes_cos,mediana,4215,0.4844563843450489,0.5539203851391057,1.0,0.7047610292223643,0.0
mes_cos,regresion,4215,0.08307042116873138,0.11011094188432127,0.014436226628890946,0.7047610292223643,0.6945901659067486
mes_sin,mediana,4215,0.47335358622456775,0.5344114013876741,1.0,0.7089462772462003,0.0
mes_sin,regresion,4215,0.14556951510208083,0.1953242186563235,0.04761538858855337,0.7089462772462003,0.6752014893501581
mp10_mean,mediana,4215,0.5522703776661729,0.7026084082558128,0.9999999999999998,20.25270108443079,2.8438581921905188e-15
mp10_mean,regresion,4215,0.3249776102104372,0.40256756554719164,0.17136517727907438,20.25270108443079,16.777671167387883
presion_mean,mediana,4215,0.5291192889246092,0.719985112961736,0.9999999999999654,4.045185870276904,1.365051932251449e-13
presion_mean,regresion,4215,0.21033689404948977,0.46434669481025076,0.2377228660174592,4.045185870276904,3.080828869719763
prop_inversion,mediana,4215,0.5301609013603124,0.6791853667051699,1.0,0.1776113777169655,0.0
prop_inversion,regresion,4215,0.3394854736162988,0.42699927668353005,0.23227909636304095,0.1776113777169655,0.1363206038150384
radiacion_mean,mediana,4215,0.4695719794588549,0.5284049556479402,0.9999999999999993,84.15321351100953,6.825259661257245e-14
radiacion_mean,regresion,4215,0.0806716061028874,0.11659083116062012,0.018364433758954846,84.15321351100953,82.59870682142287
temperatura_mean,mediana,4215,0.45442716241573855,0.5068097776739474,0.9999999999999993,5.729391079261809,3.554822740238148e-15
temperatura_mean,regresion,4215,0.06351765551176591,0.08553784726789956,0.01242547211678735,5.729391079261809,5.6582239900844815
viento_mean,mediana,4215,0.569059412550042,0.7136340046287047,1.0,0.6056133869714141,0.0
viento_mean,regresion,4215,0.2948366381154854,0.38321945410154373,0.15058100889999443,0.6056133869714141,0.5143449003925709
