parametro,coef_original,media_bootstrap,sesgo_bootstrap,sd_bootstrap,ic_boot_li,ic_boot_ls,signo_consistente,or_original,or_ic_boot_li,or_ic_boot_ls,inestable,coeficiente,se_wald,ic_wald_li,ic_wald_ls,odds_ratio,or_ic_wald_li,or_ic_wald_ls,p_wald,significativo_95,ancho_ic_boot,ancho_ic_wald,ratio_ancho_boot_wald
Intercepto,-9.98161633625548,-11.608533550963879,-1.6269172147083992,2.3251523666771,-16.41156940348623,-7.651298653862534,1.0,4.624226569272368e-05,7.456687945281188e-08,0.00047542631372631737,False,-9.98161633625548,1.1982679665681721,-12.330178394557143,-7.633054277953816,4.624226569272368e-05,4.416432146316573e-06,0.00048417977805452993,0.0,True,8.760270749623697,4.697124116603327,1.865028586035872
temperatura_mean,-0.9251626651926895,-1.0776956739327777,-0.15253300874008813,0.6911317683911228,-2.5021454213421492,0.2697836853319788,0.939,0.39646692246112086,0.08190908049271416,1.3096811168537092,True,-0.9251626651926895,0.3834871302870201,-1.676783629089868,-0.17354170129551083,0.39646692246112086,0.18697438893202173,0.8406820928985121,0.0158435415933893,True,2.771929106674128,1.5032419277943574,1.8439673983423686
humedad_mean,0.4439658662245331,0.49338800032932767,0.04942213410479457,0.3691273390443965,-0.18156809470643667,1.2583123655438089,0.907,1.5588772743469066,0.8339614550094839,3.5194768821619,True,0.4439658662245331,0.18132091774240225,0.08858339780567503,0.7993483346433912,1.5588772743469066,1.0926253713692713,2.224091093024736,0.014344891809696003,True,1.4398804602502455,0.7107649368377161,2.025818080808062
viento_mean,-0.4858277251058883,-0.4506088931021487,0.0352188320037396,0.37106636471473525,-1.1964424379685785,0.24635451649957346,0.888,0.6151877795946733,0.3022676372610894,1.2793530449186494,True,-0.4858277251058883,0.16974763400341264,-0.8185269742134638,-0.15312847599831286,0.6151877795946733,0.44108089975039216,0.8580194798205787,0.004208986921591107,True,1.442796954468152,0.6653984982151508,2.1683201244641763
radiacion_mean,1.7324888568150663,1.921529464281361,0.1890406074662947,0.5558278469304614,0.9044930877534187,3.0487361768298493,1.0,5.654710173108962,2.4706791880331465,21.08867521714333,False,1.7324888568150663,0.3526692400051335,1.0412698479498923,2.42370786568024,5.654710173108962,2.8328119718186424,11.287634851858458,8.992080233749533e-07,True,2.1442430890764306,1.382438017730348,1.5510591155448656
presion_mean,1.689293237407182,1.7727624707398282,0.08346923333264611,0.33683190437272414,1.194712812851916,2.4974876038724827,1.0,5.415651772129013,3.3026091673868616,12.151925126642805,False,1.689293237407182,0.13313744473311007,1.4283486407365944,1.9502378340777697,5.415651772129013,4.171804352798752,7.030359440822742,0.0,True,1.3027747910205667,0.5218891933411753,2.496267038372841
prop_inversion,0.7292062707784752,0.7375305330271541,0.008324262248678882,0.205496130943846,0.30630720733409805,1.1253039357172447,1.0,2.0734342090425812,1.358399552759306,3.0811531791201645,False,0.7292062707784752,0.14592894692760608,0.44319079049851035,1.01522175105844,2.0734342090425812,1.5576694945325837,2.7599753569791075,5.82304688911961e-07,True,0.8189967283831467,0.5720309605599296,1.431734966900176
mes_sin,0.6647860491450154,0.8475286748665962,0.18274262572158084,0.7948438299907097,-0.6567243610729749,2.2859540703375183,0.852,1.9440745404286037,0.5185471287309606,9.835065093128446,True,0.6647860491450154,0.4394829398828218,-0.19658468484509706,1.5261567831351277,1.9440745404286037,0.8215317570597647,4.600462229566302,0.13036732568200193,False,2.942678431410493,1.7227414679802249,1.7081369933357125
mes_cos,-0.5545579457870078,-0.4589124385961167,0.0956455071908911,1.269544511766626,-2.9148872865717568,1.9560710600593028,0.647,0.5743260883566093,0.05421014089946132,7.071488958433351,True,-0.5545579457870078,0.7522308969504394,-2.02890341186813,0.9197875202941144,0.5743260883566093,0.13147962111699504,2.508757273292502,0.46098995993883074,False,4.87095834663106,2.9486909321622443,1.6519053568829734
invierno,5.309349044432913,4.870733613858235,-0.43861543057467767,1.8943491344979568,1.8717491514963833,8.951142693548816,1.0,202.2185502434374,6.49965534400399,7716.704653614806,False,5.309349044432913,5.138662030097803,-4.762243463282261,15.380941552148087,202.2185502434374,0.00854641430711576,4784736.685244782,0.30150271612780544,False,7.079393542052433,20.143185015430348,0.35145353312444794
es_finde,-0.3629433969939993,-0.3448787469350893,0.018064650058910003,0.23445601512573275,-0.7656825306444178,0.12748469284928707,0.913,0.6956258068964802,0.46501643466934023,1.135967479682661,True,-0.3629433969939993,0.12578507391807894,-0.6094776116661426,-0.11640918232185607,0.6956258068964802,0.5436347833799997,0.8901109311140919,0.003908855838085756,True,0.8931672234937049,0.4930684293442865,1.8114467898127142
es_festivo,0.024630064431636695,-0.012902809876198247,-0.037532874307834946,0.39969966264968626,-1.3385171912624316,0.5640980212214344,0.547,1.0249358901422945,0.26223422363080956,1.7578615136578666,True,0.024630064431636695,0.10708979524743538,-0.18526207736510528,0.2345222062283787,1.0249358901422945,0.8308864987708027,1.2643045475595733,0.8180960397700945,False,1.902615212483866,0.41978428359348396,4.532364089948505
periodo_gec,-6.562452427238267,-5.495631581579077,1.0668208456591906,2.7574844832101517,-10.317151152189567,-0.9277848256954019,0.999,0.0014124176080369721,3.3061167481017005e-05,0.39542868436476236,False,-6.562452427238267,6.491535787193668,-19.285628774490725,6.160723920014191,0.0014124176080369721,4.210734350184373e-09,473.7709229758304,0.31205257737259817,False,9.389366326494164,25.446352694504917,0.3689867243143956
mp10_mean,8.685674215063058,9.343269379606634,0.6575951645435758,1.6084397432838762,6.432237900150993,12.44444029280534,1.0,5917.52884004161,621.5633895204093,253835.14321107455,False,8.685674215063058,0.4137685861620761,7.874702688251331,9.496645741874785,5917.52884004161,2629.9041726449764,13314.989928894012,0.0,True,6.012202392654347,1.621943053623454,3.7067900622176366
zona_geografica_Norte,0.5909307897524615,0.6231206032401166,0.03218981348765515,0.33237771510012226,-0.013829525524737806,1.256520525475051,0.972,1.805668331031311,0.9862656630538517,3.5131761890663484,True,0.5909307897524615,0.26739641258221303,0.06684345149611104,1.115018128008812,1.805668331031311,1.0691280946694373,3.049623462282593,0.027109128951305017,True,1.270350050999789,1.048174676512701,1.2119640737994837
zona_geografica_Oriente,-3.9800907209350718,-4.0398308085533285,-0.059740087618256776,0.5282665648688462,-5.244899371541215,-3.2060675797142197,1.0,0.018683944235951412,0.005274352417868893,0.04051562488205597,False,-3.9800907209350718,6.65392297156408,-17.021540101104403,9.06135865923426,0.018683944235951412,4.051716598693262e-08,8615.848707797795,0.5497351682139655,False,2.038831791826995,26.082898760338665,0.07816737742843283
