n_test,positivos_test,umbral,accuracy,balanced_accuracy,precision,recall,specificity,f1,f2,roc_auc,pr_auc,brier,tn,fp,fn,tp,modelo,estrategia,n_train,n_features_base,prevalencia_train,prevalencia_test,score_decision
3223,239,0.05,0.9379460130313373,0.9549409963319013,0.5456674473067916,0.9748953974895398,0.9349865951742627,0.6996996996996997,0.8423716558206796,0.9884698868161577,0.8912526289259336,0.04441468213234127,2790,194,6,233,M3_Integrado_Sin_Fuga,mediana,12848,17,0.08981942714819427,0.07415451442755197,0.8801671031301568
1456,237,0.065,0.8756868131868132,0.9138620921208849,0.5693069306930693,0.9704641350210971,0.8572600492206727,0.717628705148206,0.8505917159763313,0.9770545823338629,0.8985149345693937,0.09017710495208382,1045,174,7,230,M3_Integrado_Sin_Fuga,completos,10183,17,0.11322792890110969,0.16277472527472528,0.8801290256110657
3223,239,0.705,0.9385665529010239,0.9302577484379733,0.5513784461152882,0.9205020920502092,0.9400134048257373,0.6896551724137931,0.8118081180811808,0.9823465736368021,0.881955710997852,0.062468090959608945,2805,179,19,220,M3_Integrado_Sin_Fuga,regresion,12848,17,0.08981942714819427,0.07415451442755197,0.8539719699687024
3223,239,0.37999999999999995,0.8085634502016754,0.8658234433015133,0.27063106796116504,0.9330543933054394,0.7985924932975871,0.4195672624647225,0.6264044943820225,0.9175266694336321,0.428800846188102,0.13995866076464528,2383,601,16,223,M2_Territorial_Temporal,completos,12848,16,0.08981942714819427,0.07415451442755197,0.6851130878974387
3223,239,0.37999999999999995,0.8085634502016754,0.8658234433015133,0.27063106796116504,0.9330543933054394,0.7985924932975871,0.4195672624647225,0.6264044943820225,0.9175266694336321,0.428800846188102,0.13995866076464528,2383,601,16,223,M2_Territorial_Temporal,mediana,12848,16,0.08981942714819427,0.07415451442755197,0.6851130878974387
3223,239,0.37999999999999995,0.8085634502016754,0.8658234433015133,0.27063106796116504,0.9330543933054394,0.7985924932975871,0.4195672624647225,0.6264044943820225,0.9175266694336321,0.428800846188102,0.13995866076464528,2383,601,16,223,M2_Territorial_Temporal,regresion,12848,16,0.08981942714819427,0.07415451442755197,0.6851130878974387
3223,239,0.33999999999999997,0.7434067638845796,0.8113908768662995,0.21005917159763313,0.891213389121339,0.7315683646112601,0.3399840383080607,0.5406091370558376,0.878083390355256,0.31886430902253166,0.12560501400465185,2183,801,26,213,M1_Meteorologico,completos,12848,6,0.08981942714819427,0.07415451442755197,0.6156990554286496
3223,239,0.33999999999999997,0.7434067638845796,0.8113908768662995,0.21005917159763313,0.891213389121339,0.7315683646112601,0.3399840383080607,0.5406091370558376,0.878083390355256,0.31886430902253166,0.12560501400465185,2183,801,26,213,M1_Meteorologico,mediana,12848,6,0.08981942714819427,0.07415451442755197,0.6156990554286496
3223,239,0.33999999999999997,0.7434067638845796,0.8113908768662995,0.21005917159763313,0.891213389121339,0.7315683646112601,0.3399840383080607,0.5406091370558376,0.878083390355256,0.31886430902253166,0.12560501400465185,2183,801,26,213,M1_Meteorologico,regresion,12848,6,0.08981942714819427,0.07415451442755197,0.6156990554286496
