criterio,n,positivos,prevalencia,umbral,accuracy,balanced_accuracy,precision,recall,specificity,f1,f2,roc_auc,pr_auc,brier,tn,fp,fn,tp
F2 + Recall mínimo,2155,237,0.10997679814385151,0.66,0.9271461716937355,0.9313367035809981,0.6098901098901099,0.9367088607594937,0.9259645464025026,0.7387687188019967,0.8460365853658537,0.9807662693646247,0.8652694923463216,0.0682703608017516,1776,142,15,222
"Costo FN=5, FP=1",2155,237,0.10997679814385151,0.255,0.9201856148491879,0.932973429600982,0.5844155844155844,0.9493670886075949,0.9165797705943691,0.7234726688102894,0.8439609902475619,0.9807662693646247,0.8652694923463216,0.0682703608017516,1758,160,12,225
