estrategia,parametro,coeficiente,odds_ratio,ic_li,ic_ls,ancho_ic
completos,Intercepto,-10.847362139768183,1.9455862104383052e-05,-13.116116844663548,-8.578607434872819,4.537509409790729
completos,temperatura_mean,-0.8163041421569902,0.44206243900817166,-1.5827835684760716,-0.04982471583790882,1.5329588526381628
completos,humedad_mean,0.5721711980048743,1.7721104802405123,0.2530422041404602,0.8913001918692883,0.6382579877288281
completos,viento_mean,-0.1264565606880297,0.881212427973686,-0.451215700622125,0.19830257924606562,0.6495182798681907
completos,radiacion_mean,1.6559698149754272,5.238157503213294,0.9612503662628329,2.3506892636880217,1.3894388974251888
completos,presion_mean,1.7219160366038033,5.595238882728816,1.4601003289362346,1.983731744271372,0.5236314153351374
completos,prop_inversion,0.624971595347452,1.8681928913085932,0.34042220876711526,0.9095209819277886,0.5690987731606734
completos,mes_sin,0.5284114010410872,1.6962355291394955,-0.39119729668469716,1.4480200987668717,1.839217395451569
completos,mes_cos,-0.6843159390716445,0.5044351759739693,-2.2793690340577184,0.9107371559144293,3.1901061899721475
completos,invierno,5.1682807602653025,175.61265753985498,-3.471375178472025,13.80793669900263,17.279311877474655
completos,es_finde,-0.17575465450130165,0.8388237597265364,-0.4432462278911997,0.09173691888859645,0.5349831467797962
completos,es_festivo,0.16224959740341832,1.1761537696144422,-0.06408612183613455,0.3885853166429712,0.45267143847910574
completos,periodo_gec,-7.0801604462855385,0.0008416380998379337,-18.02814855916592,3.8678276665948443,21.895976225760766
completos,mp10_mean,11.0942720224724,65793.21670912874,10.046201731824517,12.142342313120281,2.0961405812957636
completos,zona_geografica_Norte,0.5283501254431012,1.6961315944774842,-0.03059256255431997,1.0872928134405224,1.1178853759948424
completos,zona_geografica_Oriente,-3.9527376890727033,0.019202060479367344,-27.945112546311332,20.039637168165928,47.98474971447726
completos,zona_geografica_Poniente,-0.9782116402544715,0.37598289063628276,-1.694486262490327,-0.261937018018616,1.432549244471711
completos,zona_geografica_Sur,-0.47091332099637645,0.624431701183413,-1.016012885486758,0.0741862434940051,1.090199128980763
completos,nivel_socioeconomico_Q2 (medio-bajo),0.13996092796126056,1.1502288561928038,-0.3563762470617977,0.6362981029843189,0.9926743500461166
completos,nivel_socioeconomico_Q3 (medio),-0.5004920229373877,0.6062323061202504,-1.0317076819539421,0.030723636079166616,1.0624313180331089
completos,nivel_socioeconomico_Q4 (medio-alto),-1.144821963125683,0.3182805784257669,-1.8449750933486295,-0.4446688329027365,1.400306260445893
completos,nivel_socioeconomico_Q5 (alto),-3.9527376890727033,0.019202060479367344,-27.945112546311098,20.039637168165694,47.98474971447679
completos,estacion_anio_Otoño,0.057689282291745365,1.0593857746454736,-0.9844785844329658,1.0998571490164566,2.0843357334494224
completos,estacion_anio_Primavera,8.043702166459875,3114.1208693470103,3.556735201489091,12.53066913143066,8.97393392994157
completos,estacion_anio_Verano,-3.3194133625925786,0.036174046579634286,-23.878105663350453,17.2392789381653,41.11738460151575
completos,temporada_critica_Resto del año,-9.74654549233835,5.849639132751272e-05,-13.531373935604487,-5.961717049072215,7.569656886532272
mediana,Intercepto,-9.98161633625548,4.624226569272368e-05,-12.330178394557143,-7.633054277953816,4.697124116603327
mediana,temperatura_mean,-0.9251626651926895,0.39646692246112086,-1.676783629089868,-0.17354170129551083,1.5032419277943574
mediana,humedad_mean,0.4439658662245331,1.5588772743469066,0.08858339780567503,0.7993483346433912,0.7107649368377161
