estrategia,n_train,n_test,recall,precision,f1,f2,roc_auc,pr_auc,brier,score_decision,mae_promedio,rmse_promedio
mediana,12848,3223,0.9748953974895398,0.5456674473067916,0.6996996996996997,0.8423716558206796,0.9884698868161577,0.8912526289259336,0.04441468213234127,0.8801671031301568,13.606886529906493,16.53317675700172
completos,10183,1456,0.9704641350210971,0.5693069306930693,0.717628705148206,0.8505917159763313,0.9770545823338629,0.8985149345693937,0.09017710495208382,0.8801290256110657,,
regresion,12848,3223,0.9205020920502092,0.5513784461152882,0.6896551724137931,0.8118081180811808,0.9823465736368021,0.881955710997852,0.062468090959608945,0.8539719699687024,4.798391057668398,6.680736680396597
