parametro,coeficiente,se_wald,ic_wald_li,ic_wald_ls,odds_ratio,or_ic_wald_li,or_ic_wald_ls,p_wald,significativo_95,abs_coef
Intercepto,-9.98161633625548,1.1982679665681721,-12.330178394557143,-7.633054277953816,4.624226569272368e-05,4.416432146316573e-06,0.00048417977805452993,0.0,True,9.98161633625548
temporada_critica_Resto del año,-9.296376592440714,2.1921096864316993,-13.592832628008235,-4.9999205568731915,9.17560996132744e-05,1.2494181087832887e-06,0.0067384823039262085,2.2268929628088685e-05,True,9.296376592440714
mp10_mean,8.685674215063058,0.4137685861620761,7.874702688251331,9.496645741874785,5917.52884004161,2629.9041726449764,13314.989928894012,0.0,True,8.685674215063058
estacion_anio_Primavera,8.065653890417883,2.3205618935569436,3.517436155150203,12.613871625685562,3183.2370249859214,33.69792137369438,300700.97929397324,0.0005094589469818445,True,8.065653890417883
periodo_gec,-6.562452427238267,6.491535787193668,-19.285628774490725,6.160723920014191,0.0014124176080369721,4.210734350184373e-09,473.7709229758304,0.31205257737259817,False,6.562452427238267
invierno,5.309349044432913,5.138662030097803,-4.762243463282261,15.380941552148087,202.2185502434374,0.00854641430711576,4784736.685244782,0.30150271612780544,False,5.309349044432913
nivel_socioeconomico_Q5 (alto),-3.9800907209350718,6.653922971564226,-17.021540101104687,9.061358659234545,0.018683944235951412,4.051716598692111e-08,8615.848707800245,0.5497351682139742,False,3.9800907209350718
zona_geografica_Oriente,-3.9800907209350718,6.65392297156408,-17.021540101104403,9.06135865923426,0.018683944235951412,4.051716598693262e-08,8615.848707797795,0.5497351682139655,False,3.9800907209350718
estacion_anio_Verano,-3.3559245874061308,11.324408646063334,-25.551357679904264,18.839508505092,0.03487710830750183,8.001775351718555e-12,152017849.84277996,0.7669671151462059,False,3.3559245874061308
radiacion_mean,1.7324888568150663,0.3526692400051335,1.0412698479498923,2.42370786568024,5.654710173108962,2.8328119718186424,11.287634851858458,8.992080233749533e-07,True,1.7324888568150663
presion_mean,1.689293237407182,0.13313744473311007,1.4283486407365944,1.9502378340777697,5.415651772129013,4.171804352798752,7.030359440822742,0.0,True,1.689293237407182
nivel_socioeconomico_Q4 (medio-alto),-1.5835737609221305,0.33779689852901407,-2.2456435161283292,-0.9215040057159318,0.20524030621548484,0.10585939622116293,0.39792011667458227,2.7596024290144072e-06,True,1.5835737609221305
zona_geografica_Poniente,-1.259714254408352,0.34235843696199225,-1.930724460657283,-0.5887040481594207,0.28373509096875166,0.1450430824051759,0.5550461318944839,0.00023367459907985833,True,1.259714254408352
temperatura_mean,-0.9251626651926895,0.3834871302870201,-1.676783629089868,-0.17354170129551083,0.39646692246112086,0.18697438893202173,0.8406820928985121,0.0158435415933893,True,0.9251626651926895
nivel_socioeconomico_Q3 (medio),-0.8560361855466555,0.25390646910507536,-1.353683720434335,-0.35838865065897585,0.4248427470167346,0.258287048761304,0.6988014325856743,0.0007477016754995347,True,0.8560361855466555
prop_inversion,0.7292062707784752,0.14592894692760608,0.44319079049851035,1.01522175105844,2.0734342090425812,1.5576694945325837,2.7599753569791075,5.82304688911961e-07,True,0.7292062707784752
mes_sin,0.6647860491450154,0.4394829398828218,-0.19658468484509706,1.5261567831351277,1.9440745404286037,0.8215317570597647,4.600462229566302,0.13036732568200193,False,0.6647860491450154
zona_geografica_Norte,0.5909307897524615,0.26739641258221303,0.06684345149611104,1.115018128008812,1.805668331031311,1.0691280946694373,3.049623462282593,0.027109128951305017,True,0.5909307897524615
mes_cos,-0.5545579457870078,0.7522308969504394,-2.02890341186813,0.9197875202941144,0.5743260883566093,0.13147962111699504,2.508757273292502,0.46098995993883074,False,0.5545579457870078
zona_geografica_Sur,-0.5284940666023198,0.2601731997703144,-1.0384241678946806,-0.018563965309958963,0.5894920373249883,0.35401210628260726,0.9816072837694314,0.04222291694148694,True,0.5284940666023198
viento_mean,-0.4858277251058883,0.16974763400341264,-0.8185269742134638,-0.15312847599831286,0.6151877795946733,0.44108089975039216,0.8580194798205787,0.004208986921591107,True,0.4858277251058883
humedad_mean,0.4439658662245331,0.18132091774240225,0.08858339780567503,0.7993483346433912,1.5588772743469066,1.0926253713692713,2.224091093024736,0.014344891809696003,True,0.4439658662245331
es_finde,-0.3629433969939993,0.12578507391807894,-0.6094776116661426,-0.11640918232185607,0.6956258068964802,0.5436347833799997,0.8901109311140919,0.003908855838085756,True,0.3629433969939993
nivel_socioeconomico_Q2 (medio-bajo),0.27595842540965076,0.23695108084591102,-0.18845715914617345,0.740374009965475,1.3177930761811127,0.828235985015374,2.0967195618754055,0.24417206235198163,False,0.27595842540965076
estacion_anio_Otoño,-0.18467131610654886,0.49721907605983995,-1.159202797610117,0.7898601653970192,0.831377499342312,0.3137361924568716,2.203088336732752,0.7103334080323558,False,0.18467131610654886
es_festivo,0.024630064431636695,0.10708979524743538,-0.18526207736510528,0.2345222062283787,1.0249358901422945,0.8308864987708027,1.2643045475595733,0.8180960397700945,False,0.024630064431636695
