umbral,precision,recall,f1,f2
0.05,0.5456674473067916,0.9748953974895398,0.6996996996996997,0.8423716558206796
0.060000000000000005,0.5534441805225653,0.9748953974895398,0.706060606060606,0.8460421205519245
0.07,0.5550239234449761,0.9707112970711297,0.7062404870624048,0.8442503639010189
0.08,0.5552884615384616,0.9665271966527197,0.7053435114503817,0.8418367346938775
0.09,0.558252427184466,0.9623430962343096,0.706605222734255,0.8406432748538012
0.1,0.5623471882640587,0.9623430962343096,0.7098765432098766,0.8424908424908425
0.11,0.5637254901960784,0.9623430962343096,0.7109737248840804,0.843108504398827
0.12000000000000001,0.5637254901960784,0.9623430962343096,0.7109737248840804,0.843108504398827
0.13,0.5679012345679012,0.9623430962343096,0.7142857142857143,0.8449669360764144
0.14,0.5693069306930693,0.9623430962343096,0.7153965785381027,0.8455882352941176
0.15000000000000002,0.5707196029776674,0.9623430962343096,0.7165109034267912,0.8462104488594555
0.16,0.572139303482587,0.9623430962343096,0.717628705148206,0.8468335787923417
0.16999999999999998,0.575,0.9623430962343096,0.7198748043818466,0.8480825958702065
0.18,0.575,0.9623430962343096,0.7198748043818466,0.8480825958702065
0.19,0.5764411027568922,0.9623430962343096,0.7210031347962382,0.8487084870848709
0.2,0.5764411027568922,0.9623430962343096,0.7210031347962382,0.8487084870848709
0.21000000000000002,0.5764411027568922,0.9623430962343096,0.7210031347962382,0.8487084870848709
0.22000000000000003,0.5764411027568922,0.9623430962343096,0.7210031347962382,0.8487084870848709
0.22999999999999998,0.5778894472361809,0.9623430962343096,0.7221350078492935,0.8493353028064993
0.24,0.5793450881612091,0.9623430962343096,0.7232704402515723,0.8499630450849963
0.25,0.579746835443038,0.9581589958158996,0.722397476340694,0.847520355292376
0.26,0.5812182741116751,0.9581589958158996,0.7235387045813586,0.8481481481481481
0.27,0.5826972010178118,0.9581589958158996,0.7246835443037974,0.8487768717568569
0.28,0.5841836734693877,0.9581589958158996,0.7258320126782885,0.849406528189911
0.29,0.5856777493606138,0.9581589958158996,0.726984126984127,0.85003711952487
0.3,0.5871794871794872,0.9581589958158996,0.7281399046104928,0.850668647845468
0.31,0.5871794871794872,0.9581589958158996,0.7281399046104928,0.850668647845468
0.32,0.5861182519280206,0.9539748953974896,0.7261146496815286,0.8475836431226765
0.33,0.5861182519280206,0.9539748953974896,0.7261146496815286,0.8475836431226765
0.33999999999999997,0.5861182519280206,0.9539748953974896,0.7261146496815286,0.8475836431226765
0.35,0.5876288659793815,0.9539748953974896,0.7272727272727273,0.8482142857142857
0.36,0.5896103896103896,0.9497907949790795,0.7275641025641025,0.8463832960477256
0.37,0.5896103896103896,0.9497907949790795,0.7275641025641025,0.8463832960477256
0.38,0.5896103896103896,0.9497907949790795,0.7275641025641025,0.8463832960477256
0.39,0.5896103896103896,0.9497907949790795,0.7275641025641025,0.8463832960477256
0.4,0.5911458333333334,0.9497907949790795,0.7287319422150883,0.8470149253731343
0.41,0.5911458333333334,0.9497907949790795,0.7287319422150883,0.8470149253731343
0.42,0.5942408376963351,0.9497907949790795,0.7310789049919485,0.8482810164424515
0.43,0.5942408376963351,0.9497907949790795,0.7310789049919485,0.8482810164424515
0.44,0.5942408376963351,0.9497907949790795,0.7310789049919485,0.8482810164424515
0.45,0.6005291005291006,0.9497907949790795,0.7358184764991896,0.8508245877061469
0.46,0.6005291005291006,0.9497907949790795,0.7358184764991896,0.8508245877061469
0.47,0.6005291005291006,0.9497907949790795,0.7358184764991896,0.8508245877061469
0.48,0.6021220159151194,0.9497907949790795,0.737012987012987,0.8514628657164292
0.49,0.6021220159151194,0.9497907949790795,0.737012987012987,0.8514628657164292
0.5,0.6037234042553191,0.9497907949790795,0.7382113821138211,0.8521021021021021
0.51,0.6037234042553191,0.9497907949790795,0.7382113821138211,0.8521021021021021
0.52,0.6053333333333333,0.9497907949790795,0.739413680781759,0.8527422990232908
0.53,0.6053333333333333,0.9497907949790795,0.739413680781759,0.8527422990232908
0.54,0.6053333333333333,0.9497907949790795,0.739413680781759,0.8527422990232908
0.55,0.606951871657754,0.9497907949790795,0.7406199021207178,0.8533834586466166
0.56,0.6085790884718498,0.9497907949790795,0.7418300653594772,0.8540255831452219
0.5700000000000001,0.6102150537634409,0.9497907949790795,0.7430441898527005,0.8546686746987951
0.5800000000000001,0.6102150537634409,0.9497907949790795,0.7430441898527005,0.8546686746987951
0.5900000000000001,0.6091644204851752,0.9456066945606695,0.740983606557377,0.8515448379804069
0.6000000000000001,0.6108108108108108,0.9456066945606695,0.7422003284072249,0.8521870286576169
0.6100000000000001,0.6108108108108108,0.9456066945606695,0.7422003284072249,0.8521870286576169
0.6200000000000001,0.6124661246612466,0.9456066945606695,0.743421052631579,0.8528301886792453
0.63,0.6141304347826086,0.9456066945606695,0.7446457990115322,0.8534743202416919
0.64,0.6158038147138964,0.9456066945606695,0.7458745874587459,0.854119425547997
0.65,0.6158038147138964,0.9456066945606695,0.7458745874587459,0.854119425547997
0.66,0.6174863387978142,0.9456066945606695,0.7471074380165289,0.8547655068078669
0.67,0.6215469613259669,0.9414225941422594,0.7487520798668885,0.8535660091047041
0.68,0.625,0.9414225941422594,0.7512520868113522,0.8548632218844985
0.6900000000000001,0.6256983240223464,0.9372384937238494,0.7504187604690117,0.852359208523592
0.7000000000000001,0.6274509803921569,0.9372384937238494,0.7516778523489933,0.853008377760853
0.7100000000000001,0.6292134831460674,0.9372384937238494,0.7529411764705882,0.8536585365853658
0.7200000000000001,0.6292134831460674,0.9372384937238494,0.7529411764705882,0.8536585365853658
0.7300000000000001,0.6292134831460674,0.9372384937238494,0.7529411764705882,0.8536585365853658
0.7400000000000001,0.6292134831460674,0.9372384937238494,0.7529411764705882,0.8536585365853658
0.7500000000000001,0.6292134831460674,0.9372384937238494,0.7529411764705882,0.8536585365853658
0.76,0.6292134831460674,0.9372384937238494,0.7529411764705882,0.8536585365853658
0.77,0.632768361581921,0.9372384937238494,0.7554806070826307,0.8549618320610687
0.78,0.632768361581921,0.9372384937238494,0.7554806070826307,0.8549618320610687
0.79,0.6363636363636364,0.9372384937238494,0.7580372250423012,0.8562691131498471
0.8,0.6381766381766382,0.9372384937238494,0.7593220338983051,0.8569242540168325
