estrategia,parametro,coeficiente,ic_li,ic_ls,odds_ratio,or_ic_li,or_ic_ls,ic_cruza_cero
completos,Intercepto,-10.923477023303073,-11.812966854778956,-10.03398719182719,1.802993684906152e-05,7.407875589918068e-06,4.3882840476366846e-05,False
completos,mp10_mean,8.218383632677334,7.561311274191638,8.87545599116303,3708.5032319618326,1922.364608498438,7154.207979418557,False
completos,viento_mean,0.5854886105389464,0.42102038694524957,0.7499568341326432,1.7958682514560058,1.5235153379159296,2.11690863644303,False
completos,temporada_critica_Resto del año,-8.445154289888091,-10.914174448328975,-5.976134131447206,0.00021493943012241851,1.8198444249553584e-05,0.0025386213232201625,False
mediana,Intercepto,-10.655139802021196,-11.5194178216606,-9.790861782381793,2.3579336487797636e-05,9.935286731217002e-06,5.5960650582721606e-05,False
mediana,mp10_mean,8.024247763820984,7.3856387129651715,8.662856814676797,3054.1230116188262,1612.6574913665972,5784.03499815401,False
mediana,viento_mean,0.5522090693829298,0.39000537310327354,0.714412765662586,1.7370861262844663,1.4769887298743016,2.0429866180405947,False
mediana,temporada_critica_Resto del año,-8.345349057447132,-10.801382741165236,-5.889315373729028,0.00023749854580203296,2.0371315670720658e-05,0.00276887169045989,False
regresion,Intercepto,-10.66843880384077,-11.533995899409089,-9.802881708272452,2.326783079746406e-05,9.791499962600696e-06,5.529203412013487e-05,False
regresion,mp10_mean,8.034660907827279,7.395059736418299,8.674262079236259,3086.0921953314332,1627.9221669458832,5850.381075621897,False
regresion,viento_mean,0.5531185333915593,0.390803621010432,0.7154334457726865,1.738666662207538,1.4781682037304589,2.0450729183883407,False
regresion,temporada_critica_Resto del año,-8.353989195521837,-10.810920687259175,-5.897057703784499,0.00023545536496663618,2.0177938834902896e-05,0.002747516946363002,False
