modelo,estrategia,n_features_base,retencion_dev,retencion_val,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd,cv_brier_mean,val_n,val_positivos,val_prevalencia,val_umbral,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_specificity,val_f1,val_f2,val_roc_auc,val_pr_auc,val_brier,val_tn,val_fp,val_fn,val_tp,equivalente_pr,equivalente_recall,equivalente_brier,candidato_equivalente,seleccion_preliminar
M1_Dominio_S1_S2,completos,17,1.0,1.0,0.991255013402562,0.00810264516180768,0.9675629003625968,0.01834558504870482,0.06109245851631828,1003,224,0.22333000997008973,0.5950000000000001,0.5992023928215354,0.7117613011186503,0.3486394557823129,0.9151785714285714,0.5083440308087291,0.5049261083743842,0.6907008086253369,0.7447133458646618,0.41222543171921355,0.3915285642848923,396,383,19,205,False,False,False,False,False
M1_Dominio_S1_S2,mediana,17,1.0,1.0,0.991255013402562,0.00810264516180768,0.9675629003625968,0.01834558504870482,0.06109245851631828,1003,224,0.22333000997008973,0.5950000000000001,0.5992023928215354,0.7117613011186503,0.3486394557823129,0.9151785714285714,0.5083440308087291,0.5049261083743842,0.6907008086253369,0.7447133458646618,0.41222543171921355,0.3915285642848923,396,383,19,205,False,False,False,False,False
M1_Dominio_S1_S2,regresion,17,1.0,1.0,0.991255013402562,0.00810264516180768,0.9675629003625968,0.01834558504870482,0.06109245851631828,1003,224,0.22333000997008973,0.5950000000000001,0.5992023928215354,0.7117613011186503,0.3486394557823129,0.9151785714285714,0.5083440308087291,0.5049261083743842,0.6907008086253369,0.7447133458646618,0.41222543171921355,0.3915285642848923,396,383,19,205,False,False,False,False,False
M2_Forward_AIC_BIC,completos,3,0.9998815025476953,0.9940179461615155,0.9979805550241871,0.000835376078621105,0.9914412942845782,0.0016985783080129052,0.01923102516193477,997,223,0.22367101303911735,0.64,0.8896690070210632,0.906594361594883,0.6852459016393443,0.9372197309417041,0.875968992248062,0.7916666666666666,0.873015873015873,0.970492810048551,0.8773492887659291,0.10749184331963589,678,96,14,209,True,False,True,False,True
M2_Forward_AIC_BIC,mediana,3,1.0,1.0,0.9979805550241871,0.000835376078621105,0.9914412942845782,0.0016985783080129052,0.01923102516193477,1003,224,0.22333000997008973,0.64,0.8893320039880359,0.9049003988630112,0.6852459016393443,0.9330357142857143,0.8767650834403081,0.7901701323251418,0.8701082431307244,0.9690651934714836,0.875456636827447,0.10742207668730337,683,96,15,209,True,False,True,False,False
M2_Forward_AIC_BIC,regresion,3,1.0,1.0,0.9979805550241871,0.000835376078621105,0.9914412942845782,0.0016985783080129052,0.01923102516193477,1003,224,0.22333000997008973,0.64,0.8893320039880359,0.9049003988630112,0.6852459016393443,0.9330357142857143,0.8767650834403081,0.7901701323251418,0.8701082431307244,0.9676210342930498,0.8748925712524216,0.1073890532994505,683,96,15,209,True,False,True,False,False
M3_Backward_BIC,completos,17,0.9998815025476953,0.9940179461615155,0.9902085888153018,0.014534410088075144,0.9672009971261512,0.0434030427514377,0.06372323859895708,997,223,0.22367101303911735,0.34,0.847542627883651,0.8970203126267366,0.5962059620596206,0.9865470852017937,0.8074935400516796,0.7432432432432432,0.8723235527359239,0.9639430597559704,0.8360235104575942,0.14322041574927866,625,149,3,220,False,True,False,False,False
M3_Backward_BIC,mediana,17,1.0,1.0,0.9902085888153018,0.014534410088075144,0.9672009971261512,0.0434030427514377,0.06372323859895708,1003,224,0.22333000997008973,0.34,0.8484546360917248,0.896077847056666,0.5978260869565217,0.9821428571428571,0.810012836970475,0.7432432432432432,0.870253164556962,0.9626037273060701,0.8346844182309658,0.143165953040969,631,148,4,220,False,True,False,False,False
M3_Backward_BIC,regresion,17,1.0,1.0,0.9902085888153018,0.014534410088075144,0.9672009971261512,0.0434030427514377,0.06372323859895708,1003,224,0.22333000997008973,0.34,0.847457627118644,0.8970262928663122,0.5956873315363881,0.9866071428571429,0.8074454428754814,0.7428571428571429,0.8721389108129439,0.9637527507793876,0.8357630888408765,0.14320556992854183,629,150,3,221,False,True,False,False,False
