parametro,completos,mediana,regresion,rango_coef
estacion_anio_Primavera,8.043702166459875,8.065653890417883,11.197118022558723,3.1534158560988477
mp10_mean,11.0942720224724,8.685674215063058,10.799424017171413,2.4085978074093415
nivel_socioeconomico_Q5 (alto),-3.9527376890727033,-3.9800907209350718,-5.72020363692736,1.767465947854657
zona_geografica_Oriente,-3.9527376890727033,-3.9800907209350718,-5.72020363692736,1.767465947854657
humedad_mean,0.5721711980048743,0.4439658662245331,1.8528674831317906,1.4089016169072575
viento_mean,-0.1264565606880297,-0.4858277251058883,0.7986561290446728,1.284483854150561
nivel_socioeconomico_Q3 (medio),-0.5004920229373877,-0.8560361855466555,0.42560375398929146,1.281639939535947
estacion_anio_Verano,-3.3194133625925786,-3.3559245874061308,-4.501631137329382,1.1822177747368037
mes_cos,-0.6843159390716445,-0.5545579457870078,0.4521589050156957,1.1364748440873402
Intercepto,-10.847362139768183,-9.98161633625548,-11.020954732705198,1.0393383964497183
nivel_socioeconomico_Q4 (medio-alto),-1.144821963125683,-1.5835737609221305,-0.6254488459409501,0.9581249149811805
zona_geografica_Norte,0.5283501254431012,0.5909307897524615,1.4630934092409975,0.9347432837978963
mes_sin,0.5284114010410872,0.6647860491450154,1.2847619483187027,0.7563505472776155
es_finde,-0.17575465450130165,-0.3629433969939993,0.3798497579341119,0.7427931549281113
zona_geografica_Poniente,-0.9782116402544715,-1.259714254408352,-0.6279010888574742,0.6318131655508777
temporada_critica_Resto del año,-9.74654549233835,-9.296376592440714,-9.913811805559044,0.6174352131183305
periodo_gec,-7.0801604462855385,-6.562452427238267,-6.900737300637937,0.5177080190472712
estacion_anio_Otoño,0.057689282291745365,-0.18467131610654886,-0.35242524176591833,0.4101145240576637
nivel_socioeconomico_Q2 (medio-bajo),0.13996092796126056,0.27595842540965076,0.3938735782457611,0.2539126502845005
temperatura_mean,-0.8163041421569902,-0.9251626651926895,-0.6877077467010181,0.23745491849167144
es_festivo,0.16224959740341832,0.024630064431636695,0.26127016742073167,0.23664010298909496
radiacion_mean,1.6559698149754272,1.7324888568150663,1.8830078371046999,0.2270380221292727
invierno,5.1682807602653025,5.309349044432913,5.10812299975799,0.20122604467492256
zona_geografica_Sur,-0.47091332099637645,-0.5284940666023198,-0.3868377705770834,0.14165629602523638
prop_inversion,0.624971595347452,0.7292062707784752,0.7623520382084504,0.1373804428609985
presion_mean,1.7219160366038033,1.689293237407182,1.765003136014523,0.07570989860734101
