parametro,coeficiente,se_wald,z_wald,p_wald,ic_wald_li,ic_wald_ls,se_robusto,p_robusto,ic_robusto_li,ic_robusto_ls,odds_ratio,or_ic_wald_li,or_ic_wald_ls,or_ic_robusto_li,or_ic_robusto_ls,significativo_wald_95,significativo_robusto_95,abs_coef
Intercepto,-10.923477023303073,0.45382968181663813,-24.069551774527852,5.211005862729404e-128,-11.812966854778956,-10.03398719182719,,,,,1.802993684906152e-05,7.407875589918068e-06,4.3882840476366846e-05,,,True,False,10.923477023303073
mp10_mean,8.218383632677334,0.33524715947262224,24.514401988090473,1.0372475054276263e-132,7.561311274191638,8.87545599116303,,,,,3708.5032319618326,1922.364608498438,7154.207979418557,,,True,False,8.218383632677334
viento_mean,0.5854886105389464,0.08391390091399702,6.977254115965972,3.0100498142517007e-12,0.42102038694524957,0.7499568341326432,,,,,1.7958682514560058,1.5235153379159296,2.11690863644303,,,True,False,0.5854886105389464
temporada_critica_Resto del año,-8.445154289888091,1.2597273102547808,-6.703954277358687,2.0285375899347563e-11,-10.914174448328975,-5.976134131447206,,,,,0.00021493943012241851,1.8198444249553584e-05,0.0025386213232201625,,,True,False,8.445154289888091
