estrategia,retencion_train,recall,f1,f2,pr_auc,roc_auc,brier,rmse_imputacion,puntaje_compuesto,recomendacion
regresion,1.0,0.9205020920502092,0.6896551724137931,0.8118081180811808,0.881955710997852,0.9823465736368021,0.062468090959608945,6.680736680396597,0.8917752450502637,RECOMENDADA
mediana,1.0,0.9748953974895398,0.6996996996996997,0.8423716558206796,0.8912526289259336,0.9884698868161577,0.04441468213234127,16.53317675700172,0.8830068042746541,alternativa/sensibilidad
completos,0.7925747198007472,0.9704641350210971,0.717628705148206,0.8505917159763313,0.8985149345693937,0.9770545823338629,0.09017710495208382,,0.8635497285644673,alternativa/sensibilidad
