paso,accion,variable,n_variables,AIC,BIC,mejora_BIC
1,incorporar,mp10_mean,1,514.6087552428276,528.6899934371435,inf
2,incorporar,temporada_critica,2,460.03118476917496,481.1530420606489,47.536951376494585
3,incorporar,viento_mean,3,423.1578956906645,451.32037207929636,29.832669981352524
