metodo,nmae_iqr_promedio,nrmse_iqr_promedio,encogimiento_promedio
mediana,0.5104178525051695,0.6220075182539928,0.9999999999999957
regresion,0.19611534976692108,0.27861548676390296,0.11013338065117387
