remuestras,parametro,ic_li,ic_ls,ancho
250,Intercepto,-12.604998716958834,-9.652983063703184,2.95201565325565
250,mp10_mean,7.2449815183174495,9.541190728496433,2.2962092101789837
250,viento_mean,0.20985392494351962,0.8760525387319448,0.6661986137884252
250,temporada_critica_Resto del año,-13.952698347599092,-4.987147047592628,8.965551300006464
500,Intercepto,-12.86141217810336,-9.574268620255946,3.287143557847413
500,mp10_mean,7.18879966834394,9.681165864197562,2.492366195853622
500,viento_mean,0.22235252998497262,0.8757118259378687,0.653359295952896
500,temporada_critica_Resto del año,-13.523392358130744,-4.794225686680027,8.729166671450717
1000,Intercepto,-12.852450807311042,-9.636607596374759,3.215843210936283
1000,mp10_mean,7.221985506278963,9.673426521763867,2.451441015484904
1000,viento_mean,0.24876395009962624,0.8762460600688811,0.6274821099692548
1000,temporada_critica_Resto del año,-13.518997878991831,-4.891534663090523,8.627463215901308
2000,Intercepto,-12.705501844428635,-9.601648556351371,3.1038532880772642
2000,mp10_mean,7.212919228235612,9.583346351479106,2.370427123243494
2000,viento_mean,0.26089591797795075,0.8894661653073174,0.6285702473293666
2000,temporada_critica_Resto del año,-13.508796344120414,-4.81661461953192,8.692181724588494
5000,Intercepto,-12.714822812404165,-9.60452884858512,3.1102939638190445
5000,mp10_mean,7.22080208558871,9.579506366626823,2.358704281038113
5000,viento_mean,0.27489496006668546,0.9008614982881751,0.6259665382214896
5000,temporada_critica_Resto del año,-13.424113020140911,-4.810557685321507,8.613555334819404
10000,Intercepto,-12.711772240497162,-9.624664926328782,3.08710731416838
10000,mp10_mean,7.2360552711208355,9.564574885954206,2.328519614833371
10000,viento_mean,0.28126602300689024,0.9093140119180375,0.6280479889111472
10000,temporada_critica_Resto del año,-13.452134877101923,-4.906659051544033,8.54547582555789
