metodo,nmae_iqr_promedio,nrmse_iqr_promedio,encogimiento_promedio
mediana,0.21066391285658145,0.329979891930551,0.15905835504756616
regresion,0.20375711150711964,0.29419543370314616,0.11746229491005324
