criterio,n,positivos,prevalencia,umbral,accuracy,balanced_accuracy,precision,recall,specificity,f1,f2,roc_auc,pr_auc,brier,tn,fp,fn,tp
F2 + Recall mínimo,2155,237,0.10997679814385151,0.26,0.9266821345707656,0.9310760153641056,0.6082191780821918,0.9367088607594937,0.9254431699687174,0.7375415282392026,0.8453922315308454,0.9794133305174606,0.82287120312408,0.04443530805327398,1775,143,15,222
"Costo FN=5, FP=1",2155,237,0.10997679814385151,0.16499999999999998,0.9201856148491879,0.9348224460254397,0.5839793281653747,0.9535864978902954,0.916058394160584,0.7243589743589743,0.846441947565543,0.9794133305174606,0.82287120312408,0.04443530805327398,1757,161,11,226
