variable,metodo,n_enmascarado,nmae_iqr,nrmse_iqr,encogimiento_varianza,sd_real,sd_imputado
humedad_mean,mediana,4215,0.2339416876076012,0.3924268269676746,0.20374342518589592,5.0514459878456535,4.021485574833388
humedad_mean,regresion,4215,0.21942878584738704,0.3153128884623174,0.10515851529046996,5.0514459878456535,4.520248372563799
mp10_mean,mediana,4215,0.3050180503616563,0.3900424591715724,0.13197454005084874,19.944816205356794,17.30707428229109
mp10_mean,regresion,4215,0.3019651958909134,0.37306352023130523,0.1519621397506504,19.944816205356794,16.910581263007504
presion_mean,mediana,4215,0.1823417203814578,0.5091181813882741,0.3050511047204825,4.045185870276904,2.809275561372124
presion_mean,regresion,4215,0.20797197552963587,0.46480958321226107,0.23881191293534032,4.045185870276904,3.0765866518676406
prop_inversion,mediana,4215,0.27848457055247255,0.36748851418943607,0.18154976073233214,0.1776113777169655,0.1453278121143023
prop_inversion,regresion,4215,0.2705124880229255,0.3433795213307739,0.14554935674004038,0.1776113777169655,0.15173498181588077
radiacion_mean,mediana,4215,0.08767686916195834,0.12465718567079413,0.01592075585655046,84.15321351100953,82.80905160197146
radiacion_mean,regresion,4215,0.07685922857804037,0.10950426124832524,0.017576146720214327,84.15321351100953,82.66595762630267
temperatura_mean,mediana,4215,0.07224081744602677,0.0936675855217873,0.014750747132400455,5.729391079261809,5.644943575500807
temperatura_mean,regresion,4215,0.055990845368093886,0.07187737083782741,0.010409345232887968,5.729391079261809,5.6697786402495165
viento_mean,mediana,4215,0.3149436744848972,0.43245849060431824,0.2604181516544529,0.6056133869714141,0.4478108447391329
viento_mean,regresion,4215,0.2935712613128413,0.3814208905992131,0.15276864770076934,0.6056133869714141,0.513024827579076
