variable,p_box_tidwell,evidencia_curvatura,lectura,tratamiento_final
mp10_mean,0.12348422810760626,False,sin evidencia fuerte de curvatura,sensibilidad evaluada; forma lineal conservada
viento_mean,0.9430503693563383,False,sin evidencia fuerte de curvatura,sensibilidad evaluada; forma lineal conservada
